"Month_Year","Count"
"2020-01-01",91686
"2020-02-01",87403
"2020-03-01",82576
"2020-04-01",65938
"2020-05-01",75746
"2020-06-01",78606
"2020-07-01",86805
"2020-08-01",85766
"2020-09-01",86566
"2020-10-01",86644
"2020-11-01",80586
"2020-12-01",74974
"2021-01-01",60494
"2021-02-01",58777
"2021-03-01",69522
"2021-04-01",67651
"2021-05-01",73206
"2021-06-01",75183
"2021-07-01",76670
"2021-08-01",70452
"2021-09-01",74266
"2021-10-01",81500
"2021-11-01",80048
"2021-12-01",72765
"2022-01-01",74756
"2022-02-01",72459
"2022-03-01",81044
"2022-04-01",72617
"2022-05-01",81354
"2022-06-01",79475
"2022-07-01",80255
"2022-08-01",78044
"2022-09-01",75576
"2022-10-01",81450
"2022-11-01",80522
"2022-12-01",73426
"2023-01-01",78668
"2023-02-01",74034
"2023-03-01",81357
"2023-04-01",75314
"2023-05-01",83877
"2023-06-01",85179
"2023-07-01",85024
"2023-08-01",81486
"2023-09-01",83006
"2023-10-01",80657
"2023-11-01",84410
"2023-12-01",81847
"2024-01-01",80611
"2024-02-01",79774
"2024-03-01",79615
"2024-04-01",77730
"2024-05-01",81448
"2024-06-01",81978
"2024-07-01",84861
"2024-08-01",82578
"2024-09-01",83268
"2024-10-01",89052
"2024-11-01",87679
